n,W_S,S,S_wet,S_vert,S_orizz,b,lambda,c_root,c_tip,MAC,AR,t_c,sweep25,V_fuel,M,W_fuel,W_block_fuel,E_crociera,CD,Cd0,Cdi,Cdw,CL_crociera,CL_max,T,T_W,WTO,OEW,W_wing,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,ADP,flight_cost,maintenance_cost,DOC,PREE
1,650,129.4853893,265.3155627,23.30737008,32.37134733,35.98407833,0.23,6.603463532,1.518796612,4.5916441,10,0.1,20,24288.43316,0.76,19430.74653,16669.17,16.15559657,0.037258972,0.022965425,0.012612316,0.001681231,0.601940915,2.576731135,26354.73268,0.313129866,84177.32851,43466.58199,8333.540546,1367.391962,3398.7203,5537.694801,692.3033108,1369.599712,83.90330255,4928.407851,1033.154639,0.042297574,0.478728108
2,600,141.3657602,289.6584426,25.44583683,35.34144004,35.66920018,0.23,7.281243216,1.67468594,5.062930581,9,0.1,25,24543.6709,0.76,19634.93672,16843.52,16.09322668,0.034526188,0.021668847,0.012347253,0.000510088,0.555637768,2.485186583,25956.44775,0.306019974,84831.71816,43916.78144,8568.671615,1492.851087,3427.498346,5449.990234,710.6670913,1493.388616,84.31842246,4953.122282,1036.181091,0.042494397,0.473772707
3,600,141.5371379,290.0095955,25.47668482,35.38428447,35.69081452,0.27,7.055631009,1.905020373,4.973756894,9,0.1,25,24546.18482,0.76,19636.94785,16845.58,16.11868398,0.034471658,0.021668703,0.012292867,0.000510088,0.555637768,2.485186583,25928.02854,0.305314786,84934.60648,44017.65863,8667.212283,1494.660871,3432.023368,5443.735374,711.078778,1495.174306,84.43390409,4953.979359,1037.213277,0.042507802,0.473714789
4,600,141.7416295,290.4285988,25.5134933,35.43540737,35.7165881,0.31,6.844490419,2.12179203,4.897729251,9,0.1,25,24566.49141,0.76,19653.19313,16859.7,16.13286028,0.034441367,0.021669409,0.01226187,0.000510088,0.555637768,2.485186583,25931.01293,0.304909398,85057.66015,44124.46703,8763.059277,1496.820343,3437.422722,5444.392196,711.5696712,1497.30503,84.56848878,4956.396528,1038.500113,0.042534082,0.473317983
5,600,140.5026775,287.8899862,25.29048195,35.12566937,35.5601476,0.23,7.261874327,1.670231095,5.049462642,9,0.1,20,24591.72897,0.76,19673.38318,16874.1,15.90909675,0.03492579,0.021694938,0.011908587,0.001322265,0.555637768,2.576731135,25328.60334,0.300452202,84322.97076,43369.58759,8228.036268,1483.736759,3404.709705,5311.906749,684.5040791,1484.395626,83.39725225,4953.748476,1025.957977,0.042426307,0.472914181
6,600,140.6493877,288.1905954,25.31688978,35.16234692,35.57870837,0.27,7.036346477,1.899813549,4.960162564,9,0.1,20,24592.2259,0.76,19673.78072,16874.74,15.93229007,0.034874947,0.021696549,0.011856134,0.001322265,0.555637768,2.576731135,25297.89847,0.299774957,84413.33803,43459.55731,8317.418925,1485.286048,3408.583406,5305.15917,684.8456346,1485.92429,83.49834126,4954.36299,1026.847119,0.042436975,0.472896191
7,600,140.834243,288.5693638,25.35016373,35.20856074,35.60208121,0.31,6.825393851,2.115872094,4.884064271,9,0.1,20,24610.70312,0.76,19688.5625,16887.58,15.94505057,0.034847037,0.021698535,0.011826237,0.001322265,0.555637768,2.576731135,25298.26044,0.299385764,84524.83195,43556.26945,8404.753491,1487.238158,3413.464283,5305.238712,685.2757309,1487.85041,83.61960205,4956.560288,1028.000742,0.04246075,0.472536508
8,650,128.9665107,264.2523805,23.21397193,32.24162768,34.06902694,0.23,6.99727902,1.609374175,4.865479271,9,0.1,20,24794.23494,0.76,19835.38795,17009.05,15.59922941,0.038587862,0.022930582,0.01397605,0.001681231,0.601940915,2.576731135,26249.12303,0.313129866,83849.77702,42734.38907,7686.061641,1361.912499,3383.878265,5514.430807,657.0384473,1364.193196,82.94557426,4967.045461,1023.800331,0.042505341,0.469162025
9,650,129.1318308,264.5911213,23.24372954,32.2829577,34.09085621,0.27,6.780640487,1.830772931,4.779906619,9,0.1,20,24802.76828,0.76,19842.21462,17015.17,15.6200095,0.038536527,0.022940806,0.01391449,0.001681231,0.601940915,2.576731135,26282.77136,0.313129866,83959.768,42837.55338,7773.06912,1363.658313,3388.607089,5521.842317,657.4409067,1365.915768,83.08765821,4968.432106,1025.229502,0.042525319,0.468993297
10,650,129.3148941,264.966218,23.27668094,32.32872353,34.11501205,0.31,6.577619191,2.039061949,4.706763534,9,0.1,20,24825.11037,0.76,19860.0883,17030.64,15.63147213,0.038508268,0.022947634,0.013879404,0.001681231,0.601940915,2.576731135,26320.03104,0.313129866,84079.35554,42939.26724,7856.89171,1365.591498,3393.843444,5530.049977,657.886247,1367.823217,83.22919911,4970.992804,1026.661832,0.04255365,0.468567176
